,0
1940,4104270
1941,34482101
1942,10299703
1943,33779918
1944,34398821
1945,9763522
1946,14421878
1947,26113231
1948,14423045
1949,33018009
1950,23085403
1951,32315183
1952,4408655
1953,34466532
1954,30889207
1955,7687172
1956,26892482
1957,2576193
1958,4076893
1959,1787622
1960,4522960
1961,34496933
1962,34454953
1963,34758892
1964,34309633
1965,18948747
1966,12556239
1967,28697217
1968,29636053
1969,20194348
1970,4049131
1971,34313445
1972,4678460
1973,11487041
1974,32369018
1975,25060886
1976,34609212
1977,19744330
1978,30391279
1979,15719295
1980,2820838
1981,6396828
1982,34085572
1983,6762775
1984,34267748
1985,19506782
1986,34022210
1987,32260501
1988,4414173
1989,8247170
1990,22383999
1991,4595801
1992,4014028
1993,4546001
1994,30334920
1995,34757281
1996,20909067
1997,32401040
1998,6038728
1999,32895307
2000,30327913
2001,28883187
2002,29959470
2003,34556990
2004,5865179
2005,4637520
2006,29978957
2007,2720242
2008,3520202
2009,3992125
2010,34207244
2011,34694135
2012,7234766
2013,28663796
2014,4616647
2015,4497033
2016,8805086
2017,28262931
2018,4361913
2019,34909204
2020,8155905
2021,21586797
2022,4486435
2023,34104654
2024,29586515
2025,24284020
2026,4475797
2027,4613242
2028,34214808
2029,30742063
2030,33574954
2031,8781769
2032,1002365
2033,34554912
2034,34509763
2035,34755183
2036,1024841
2037,7813056
2038,33442733
2039,78445
2040,24027576
2041,3858514
2042,4638929
2043,34909512
2044,29625167
2045,4616036
2046,4547726
2047,33125507
2048,34129464
2049,2814469
2050,11745525
2051,32870567
2052,3968179
2053,21748301
2054,2784159
2055,21537487
2056,3797598
2057,3880171
2058,4034963
2059,33805549
2060,31219723
2061,3538450
2062,34550761
2063,23784747
2064,15049599
2065,18421652
2066,16043058
2067,34402697
2068,6614161
2069,4564642
2070,25570614
2071,34471044
2072,4523276
2073,32306193
2074,15042599
2075,26097566
2076,32344006
2077,18166619
2078,3392588
2079,5437404
2080,33915231
2081,30411240
2082,27732411
2083,34108578
2084,34344916
2085,34584660
2086,30732444
2087,3213679
2088,8965772
2089,15058688
2090,4008199
2091,23219321
2092,32864716
2093,29364036
2094,13658033
2095,6747264
2096,18623731
2097,6528619
2098,27769807
2099,34286992
2100,16569298
2101,4726065
2102,34562993
2103,4505602
2104,33446980
2105,34524847
2106,34532830
2107,7389610
2108,34641488
2109,4586126
2110,34505011
2111,1986138
2112,34603945
2113,4326311
2114,6538738
2115,4580847
2116,4562089
2117,30687325
2118,29508639
2119,33834381
2120,3843010
2121,18280700
2122,3869867
2123,14977421
2124,31408129
2125,5388617
2126,15236677
2127,3363506
2128,18994264
2129,4371258
2130,31503070
2131,28528425
2132,4573600
2133,31896282
2134,19129663
2135,4340120
2136,4547910
2137,4525173
2138,1817641
2139,34725462
